,num_agents,agents_done,total_reward,nr_start_goal,nr_extra,grid_width,grid_height,evaluation_round,steps_needed
0,1,1,-54.0,2,1,20,20,1,56
1,1,1,-26.0,2,1,20,20,1,28
2,1,1,-19.0,2,1,20,20,1,21
3,1,1,-6.0,2,1,20,20,1,8
4,1,1,-3.0,2,1,20,20,1,5
5,1,1,-4.0,2,1,20,20,1,6
6,1,0,-200.0,2,1,20,20,1,200
7,1,1,-3.0,2,1,20,20,1,5
8,1,1,-17.0,2,1,20,20,1,19
9,1,1,-5.0,2,1,20,20,1,7
10,1,1,-122.0,2,1,20,20,1,124
11,1,1,-8.0,2,1,20,20,1,10
12,1,1,-2.0,2,1,20,20,1,4
13,1,1,-49.0,2,1,20,20,1,51
14,1,1,-9.0,2,1,20,20,1,11
15,1,1,-59.0,2,1,20,20,1,61
16,1,1,0.0,2,1,20,20,1,2
17,1,1,-37.0,2,1,20,20,1,39
18,1,1,-18.0,2,1,20,20,1,20
19,1,1,1.0,2,1,20,20,1,1
20,1,0,-200.0,6,6,20,20,2,200
21,1,1,-37.0,6,6,20,20,2,39
22,1,0,-200.0,6,6,20,20,2,200
23,1,1,-34.0,6,6,20,20,2,36
24,1,0,-200.0,6,6,20,20,2,200
25,1,0,-200.0,6,6,20,20,2,200
26,1,1,-50.0,6,6,20,20,2,52
27,1,0,-202.0,6,6,20,20,2,200
28,1,1,-107.0,6,6,20,20,2,109
29,1,1,-8.0,6,6,20,20,2,10
30,1,1,-59.0,6,6,20,20,2,61
31,1,0,-206.0,6,6,20,20,2,200
32,1,1,-92.0,6,6,20,20,2,92
33,1,1,-94.0,6,6,20,20,2,95
34,1,1,-21.0,6,6,20,20,2,23
35,1,1,-2.0,6,6,20,20,2,4
36,2,0,-400.0,6,6,20,20,3,200
37,2,0,-400.0,6,6,20,20,3,200
38,2,0,-401.0,6,6,20,20,3,200
39,2,0,-400.0,6,6,20,20,3,200
40,2,0,-400.0,6,6,20,20,3,200
41,2,1,-276.0,6,6,20,20,3,200
42,2,2,-108.0,6,6,20,20,3,57
43,2,1,-201.0,6,6,20,20,3,200
44,2,1,-352.0,6,6,20,20,3,200
45,2,0,-400.0,6,6,20,20,3,200
46,2,0,-400.0,6,6,20,20,3,200
47,2,0,-415.0,6,6,20,20,3,200
48,2,0,-400.0,6,6,20,20,3,200
49,2,2,-309.0,6,6,20,20,3,171
50,2,0,-400.0,6,6,20,20,3,200
51,2,1,-264.0,6,6,20,20,3,200
52,4,0,-800.0,6,6,20,20,4,200
53,4,0,-801.0,6,6,20,20,4,200
54,4,1,-637.0,6,6,20,20,4,200
55,4,1,-676.0,6,6,20,20,4,200
56,4,1,-757.0,6,6,20,20,4,200
57,6,0,-1202.0,6,6,60,60,5,200
58,6,0,-1207.0,6,6,60,60,5,200
59,6,0,-1202.0,6,6,60,60,5,200
60,6,0,-1203.0,6,6,60,60,5,200
