,num_agents,agents_done,total_reward,nr_start_goal,nr_extra,grid_width,grid_height,evaluation_round,steps_needed
0,1,0,-200.0,2,1,20,20,1,200
1,1,1,-180.0,2,1,20,20,1,182
2,1,1,-20.0,2,1,20,20,1,22
3,1,1,-6.0,2,1,20,20,1,8
4,1,1,-4.0,2,1,20,20,1,6
5,1,1,-66.0,2,1,20,20,1,68
6,1,0,-200.0,2,1,20,20,1,200
7,1,1,-4.0,2,1,20,20,1,6
8,1,1,-17.0,2,1,20,20,1,19
9,1,1,-5.0,2,1,20,20,1,7
10,1,0,-200.0,2,1,20,20,1,200
11,1,1,-8.0,2,1,20,20,1,10
12,1,1,-2.0,2,1,20,20,1,4
13,1,0,-200.0,2,1,20,20,1,200
14,1,1,-10.0,2,1,20,20,1,12
15,1,1,-37.0,2,1,20,20,1,39
16,1,1,0.0,2,1,20,20,1,2
17,1,0,-200.0,2,1,20,20,1,200
18,1,1,-19.0,2,1,20,20,1,21
19,1,1,1.0,2,1,20,20,1,1
20,1,0,-200.0,6,6,20,20,2,200
21,1,0,-200.0,6,6,20,20,2,200
22,1,0,-201.0,6,6,20,20,2,200
23,1,1,-70.0,6,6,20,20,2,72
24,1,1,-138.0,6,6,20,20,2,140
25,1,0,-200.0,6,6,20,20,2,200
26,1,1,-177.0,6,6,20,20,2,179
27,1,0,-200.0,6,6,20,20,2,200
28,1,1,-28.0,6,6,20,20,2,30
29,1,1,-9.0,6,6,20,20,2,11
30,1,1,-67.0,6,6,20,20,2,68
31,1,1,-92.0,6,6,20,20,2,92
32,1,0,-200.0,6,6,20,20,2,200
33,1,0,-200.0,6,6,20,20,2,200
34,1,0,-200.0,6,6,20,20,2,200
35,1,1,-2.0,6,6,20,20,2,4
36,2,0,-400.0,6,6,20,20,3,200
37,2,1,-248.0,6,6,20,20,3,200
38,2,0,-400.0,6,6,20,20,3,200
39,2,2,-118.0,6,6,20,20,3,85
40,2,0,-400.0,6,6,20,20,3,200
41,2,1,-219.0,6,6,20,20,3,200
42,2,0,-400.0,6,6,20,20,3,200
43,2,2,-151.0,6,6,20,20,3,153
44,2,0,-400.0,6,6,20,20,3,200
45,2,1,-209.0,6,6,20,20,3,200
46,2,0,-400.0,6,6,20,20,3,200
47,2,1,-403.0,6,6,20,20,3,200
48,2,0,-400.0,6,6,20,20,3,200
49,2,2,-108.0,6,6,20,20,3,67
50,2,2,-153.0,6,6,20,20,3,102
51,2,2,-57.0,6,6,20,20,3,54
