,num_agents,agents_done,total_reward,nr_start_goal,nr_extra,grid_width,grid_height,evaluation_round,steps_needed
0,1,1,-84.0,2,1,20,20,1,86
1,1,1,-28.0,2,1,20,20,1,30
2,1,1,-20.0,2,1,20,20,1,22
3,1,1,-6.0,2,1,20,20,1,8
4,1,1,-4.0,2,1,20,20,1,6
5,1,1,-66.0,2,1,20,20,1,68
6,1,0,-200.0,2,1,20,20,1,200
7,1,1,-4.0,2,1,20,20,1,6
8,1,1,-17.0,2,1,20,20,1,19
9,1,1,-5.0,2,1,20,20,1,7
10,1,0,-200.0,2,1,20,20,1,200
11,1,1,-8.0,2,1,20,20,1,10
12,1,1,-2.0,2,1,20,20,1,4
13,1,1,-141.0,2,1,20,20,1,143
14,1,1,-9.0,2,1,20,20,1,11
15,1,1,-37.0,2,1,20,20,1,39
16,1,1,0.0,2,1,20,20,1,2
17,1,0,-200.0,2,1,20,20,1,200
18,1,1,-19.0,2,1,20,20,1,21
19,1,1,1.0,2,1,20,20,1,1
20,1,0,-200.0,6,6,20,20,2,200
21,1,1,-167.0,6,6,20,20,2,169
22,1,0,-200.0,6,6,20,20,2,200
23,1,1,-76.0,6,6,20,20,2,77
24,1,1,-90.0,6,6,20,20,2,92
25,1,0,-200.0,6,6,20,20,2,200
26,1,1,-177.0,6,6,20,20,2,179
27,1,0,-200.0,6,6,20,20,2,200
28,1,1,-28.0,6,6,20,20,2,30
29,1,1,-9.0,6,6,20,20,2,11
30,1,0,-202.0,6,6,20,20,2,200
31,1,1,-92.0,6,6,20,20,2,92
32,1,0,-206.0,6,6,20,20,2,200
33,1,1,-141.0,6,6,20,20,2,143
34,1,1,-87.0,6,6,20,20,2,89
35,1,1,-2.0,6,6,20,20,2,4
36,2,0,-400.0,6,6,20,20,3,200
37,2,2,-112.0,6,6,20,20,3,67
38,2,0,-400.0,6,6,20,20,3,200
39,2,1,-361.0,6,6,20,20,3,200
40,2,0,-400.0,6,6,20,20,3,200
41,2,1,-219.0,6,6,20,20,3,200
42,2,0,-400.0,6,6,20,20,3,200
43,2,1,-201.0,6,6,20,20,3,200
44,2,0,-400.0,6,6,20,20,3,200
45,2,1,-209.0,6,6,20,20,3,200
46,2,0,-400.0,6,6,20,20,3,200
47,2,2,-377.0,6,6,20,20,3,195
48,2,0,-400.0,6,6,20,20,3,200
49,2,1,-242.0,6,6,20,20,3,200
50,2,2,-152.0,6,6,20,20,3,100
51,2,2,-57.0,6,6,20,20,3,54
52,4,0,-800.0,6,6,20,20,4,200
53,4,0,-800.0,6,6,20,20,4,200
54,4,0,-809.0,6,6,20,20,4,200
55,4,1,-798.0,6,6,20,20,4,200
56,4,0,-803.0,6,6,20,20,4,200
57,6,0,-1223.0,6,6,60,60,5,200
58,6,0,-1214.0,6,6,60,60,5,200
59,6,0,-1207.0,6,6,60,60,5,200
60,6,0,-1210.0,6,6,60,60,5,200
