,num_agents,agents_done,total_reward,nr_start_goal,nr_extra,grid_width,grid_height,evaluation_round,steps_needed
0,1,1,-54.0,2,1,20,20,1,56
1,1,1,-113.0,2,1,20,20,1,115
2,1,1,-19.0,2,1,20,20,1,21
3,1,1,-6.0,2,1,20,20,1,8
4,1,1,-4.0,2,1,20,20,1,6
5,1,1,-4.0,2,1,20,20,1,6
6,1,0,-200.0,2,1,20,20,1,200
7,1,1,-3.0,2,1,20,20,1,5
8,1,1,-17.0,2,1,20,20,1,19
9,1,1,-5.0,2,1,20,20,1,7
10,1,0,-200.0,2,1,20,20,1,200
11,1,1,-8.0,2,1,20,20,1,10
12,1,1,-2.0,2,1,20,20,1,4
13,1,0,-200.0,2,1,20,20,1,200
14,1,1,-9.0,2,1,20,20,1,11
15,1,1,-60.0,2,1,20,20,1,62
16,1,1,0.0,2,1,20,20,1,2
17,1,1,-94.0,2,1,20,20,1,96
18,1,1,-19.0,2,1,20,20,1,21
19,1,1,1.0,2,1,20,20,1,1
20,1,0,-200.0,6,6,20,20,2,200
21,1,1,-60.0,6,6,20,20,2,62
22,1,0,-200.0,6,6,20,20,2,200
23,1,1,-34.0,6,6,20,20,2,36
24,1,1,-54.0,6,6,20,20,2,56
25,1,0,-200.0,6,6,20,20,2,200
26,1,1,-117.0,6,6,20,20,2,119
27,1,0,-200.0,6,6,20,20,2,200
28,1,1,-27.0,6,6,20,20,2,29
29,1,1,-9.0,6,6,20,20,2,11
30,1,1,-59.0,6,6,20,20,2,61
31,1,1,-94.0,6,6,20,20,2,92
32,1,1,-94.0,6,6,20,20,2,96
33,1,1,-94.0,6,6,20,20,2,95
34,1,1,-23.0,6,6,20,20,2,25
35,1,1,-2.0,6,6,20,20,2,4
36,2,0,-400.0,6,6,20,20,3,200
37,2,1,-254.0,6,6,20,20,3,200
38,2,1,-392.0,6,6,20,20,3,200
39,2,0,-400.0,6,6,20,20,3,200
40,2,0,-400.0,6,6,20,20,3,200
41,2,0,-400.0,6,6,20,20,3,200
42,2,0,-400.0,6,6,20,20,3,200
43,2,1,-201.0,6,6,20,20,3,200
44,2,1,-284.0,6,6,20,20,3,200
45,2,1,-209.0,6,6,20,20,3,200
46,2,0,-400.0,6,6,20,20,3,200
47,2,0,-410.0,6,6,20,20,3,200
48,2,0,-400.0,6,6,20,20,3,200
49,2,1,-224.0,6,6,20,20,3,200
50,2,2,-125.0,6,6,20,20,3,70
51,2,2,-222.0,6,6,20,20,3,172
